date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:47:42	1280/1280	---M--	200	added ('OK')	text/html	etag:%2210cda2-500-eae00600%22	http://www.cmass.edu.hk/~tf/0304HPage/FCar13_5_04/page/image21.html	d:/My%20Websites/cmass/www.cmass.edu.hk/_tf/0304HPage/FCar13_5_04/page/image21.html	(from http://www.cmass.edu.hk/~tf/0304HPage/index.htm)
09:47:44	2029/2029	---M--	200	added ('OK')	image/jpeg	etag:%2210ce02-7ed-eb0dccc0%22	http://www.cmass.edu.hk/~tf/0304HPage/FCar13_5_04/Thumbs/tn_Robot027.jpg	d:/My%20Websites/cmass/www.cmass.edu.hk/_tf/0304HPage/FCar13_5_04/Thumbs/tn_Robot027.jpg	(from http://www.cmass.edu.hk/~tf/0304HPage/index.htm)
09:47:44	1280/1280	---M--	200	added ('OK')	text/html	etag:%2210cda3-500-eae00600%22	http://www.cmass.edu.hk/~tf/0304HPage/FCar13_5_04/page/image22.html	d:/My%20Websites/cmass/www.cmass.edu.hk/_tf/0304HPage/FCar13_5_04/page/image22.html	(from http://www.cmass.edu.hk/~tf/0304HPage/index.htm)
09:47:45	1953/1953	---M--	200	added ('OK')	image/jpeg	etag:%2210ce03-7a1-eb0dccc0%22	http://www.cmass.edu.hk/~tf/0304HPage/FCar13_5_04/Thumbs/tn_Robot028.jpg	d:/My%20Websites/cmass/www.cmass.edu.hk/_tf/0304HPage/FCar13_5_04/Thumbs/tn_Robot028.jpg	(from http://www.cmass.edu.hk/~tf/0304HPage/index.htm)
09:47:45	1280/1280	---M--	200	added ('OK')	text/html	etag:%2210cda4-500-eae00600%22	http://www.cmass.edu.hk/~tf/0304HPage/FCar13_5_04/page/image23.html	d:/My%20Websites/cmass/www.cmass.edu.hk/_tf/0304HPage/FCar13_5_04/page/image23.html	(from http://www.cmass.edu.hk/~tf/0304HPage/index.htm)
09:47:46	1280/1280	---M--	200	added ('OK')	text/html	etag:%2210cda5-500-eae00600%22	http://www.cmass.edu.hk/~tf/0304HPage/FCar13_5_04/page/image24.html	d:/My%20Websites/cmass/www.cmass.edu.hk/_tf/0304HPage/FCar13_5_04/page/image24.html	(from http://www.cmass.edu.hk/~tf/0304HPage/index.htm)
09:47:46	1806/1806	---M--	200	added ('OK')	image/jpeg	etag:%2210ce04-70e-eb1d0f00%22	http://www.cmass.edu.hk/~tf/0304HPage/FCar13_5_04/Thumbs/tn_Robot029.jpg	d:/My%20Websites/cmass/www.cmass.edu.hk/_tf/0304HPage/FCar13_5_04/Thumbs/tn_Robot029.jpg	(from http://www.cmass.edu.hk/~tf/0304HPage/index.htm)
09:47:46	2008/2008	---M--	200	added ('OK')	image/jpeg	etag:%2210ce05-7d8-eb1d0f00%22	http://www.cmass.edu.hk/~tf/0304HPage/FCar13_5_04/Thumbs/tn_Robot030.jpg	d:/My%20Websites/cmass/www.cmass.edu.hk/_tf/0304HPage/FCar13_5_04/Thumbs/tn_Robot030.jpg	(from http://www.cmass.edu.hk/~tf/0304HPage/index.htm)
09:47:47	1280/1280	---M--	200	added ('OK')	text/html	etag:%2210cda6-500-eae00600%22	http://www.cmass.edu.hk/~tf/0304HPage/FCar13_5_04/page/image25.html	d:/My%20Websites/cmass/www.cmass.edu.hk/_tf/0304HPage/FCar13_5_04/page/image25.html	(from http://www.cmass.edu.hk/~tf/0304HPage/index.htm)
09:47:47	1787/1787	---M--	200	added ('OK')	image/jpeg	etag:%2210ce06-6fb-eb1d0f00%22	http://www.cmass.edu.hk/~tf/0304HPage/FCar13_5_04/Thumbs/tn_Robot031.jpg	d:/My%20Websites/cmass/www.cmass.edu.hk/_tf/0304HPage/FCar13_5_04/Thumbs/tn_Robot031.jpg	(from http://www.cmass.edu.hk/~tf/0304HPage/index.htm)
09:47:48	1280/1280	---M--	200	added ('OK')	text/html	etag:%2210cda7-500-eae00600%22	http://www.cmass.edu.hk/~tf/0304HPage/FCar13_5_04/page/image26.html	d:/My%20Websites/cmass/www.cmass.edu.hk/_tf/0304HPage/FCar13_5_04/page/image26.html	(from http://www.cmass.edu.hk/~tf/0304HPage/index.htm)
09:47:49	1789/1789	---M--	200	added ('OK')	image/jpeg	etag:%2210ce07-6fd-eb1d0f00%22	http://www.cmass.edu.hk/~tf/0304HPage/FCar13_5_04/Thumbs/tn_Robot032.jpg	d:/My%20Websites/cmass/www.cmass.edu.hk/_tf/0304HPage/FCar13_5_04/Thumbs/tn_Robot032.jpg	(from http://www.cmass.edu.hk/~tf/0304HPage/index.htm)
09:47:50	1280/1280	---M--	200	added ('OK')	text/html	etag:%2210cda8-500-eae00600%22	http://www.cmass.edu.hk/~tf/0304HPage/FCar13_5_04/page/image27.html	d:/My%20Websites/cmass/www.cmass.edu.hk/_tf/0304HPage/FCar13_5_04/page/image27.html	(from http://www.cmass.edu.hk/~tf/0304HPage/index.htm)
09:47:50	1912/1912	---M--	200	added ('OK')	image/jpeg	etag:%2210ce08-778-eb1d0f00%22	http://www.cmass.edu.hk/~tf/0304HPage/FCar13_5_04/Thumbs/tn_Robot033.jpg	d:/My%20Websites/cmass/www.cmass.edu.hk/_tf/0304HPage/FCar13_5_04/Thumbs/tn_Robot033.jpg	(from http://www.cmass.edu.hk/~tf/0304HPage/index.htm)
09:47:51	1280/1280	---M--	200	added ('OK')	text/html	etag:%2210cda9-500-eae00600%22	http://www.cmass.edu.hk/~tf/0304HPage/FCar13_5_04/page/image28.html	d:/My%20Websites/cmass/www.cmass.edu.hk/_tf/0304HPage/FCar13_5_04/page/image28.html	(from http://www.cmass.edu.hk/~tf/0304HPage/index.htm)
09:47:51	1941/1941	---M--	200	added ('OK')	image/jpeg	etag:%2210ce09-795-eb1d0f00%22	http://www.cmass.edu.hk/~tf/0304HPage/FCar13_5_04/Thumbs/tn_Robot034.jpg	d:/My%20Websites/cmass/www.cmass.edu.hk/_tf/0304HPage/FCar13_5_04/Thumbs/tn_Robot034.jpg	(from http://www.cmass.edu.hk/~tf/0304HPage/index.htm)
09:47:51	1280/1280	---M--	200	added ('OK')	text/html	etag:%2210cdaa-500-eae00600%22	http://www.cmass.edu.hk/~tf/0304HPage/FCar13_5_04/page/image29.html	d:/My%20Websites/cmass/www.cmass.edu.hk/_tf/0304HPage/FCar13_5_04/page/image29.html	(from http://www.cmass.edu.hk/~tf/0304HPage/index.htm)
09:47:52	2047/2047	---M--	200	added ('OK')	image/jpeg	etag:%2210ce0a-7ff-eb1d0f00%22	http://www.cmass.edu.hk/~tf/0304HPage/FCar13_5_04/Thumbs/tn_Robot035.jpg	d:/My%20Websites/cmass/www.cmass.edu.hk/_tf/0304HPage/FCar13_5_04/Thumbs/tn_Robot035.jpg	(from http://www.cmass.edu.hk/~tf/0304HPage/index.htm)
09:47:52	1280/1280	---M--	200	added ('OK')	text/html	etag:%2210cdac-500-eae00600%22	http://www.cmass.edu.hk/~tf/0304HPage/FCar13_5_04/page/image30.html	d:/My%20Websites/cmass/www.cmass.edu.hk/_tf/0304HPage/FCar13_5_04/page/image30.html	(from http://www.cmass.edu.hk/~tf/0304HPage/index.htm)
09:47:54	1869/1869	---M--	200	added ('OK')	image/jpeg	etag:%2210ce0b-74d-eb1d0f00%22	http://www.cmass.edu.hk/~tf/0304HPage/FCar13_5_04/Thumbs/tn_Robot036.jpg	d:/My%20Websites/cmass/www.cmass.edu.hk/_tf/0304HPage/FCar13_5_04/Thumbs/tn_Robot036.jpg	(from http://www.cmass.edu.hk/~tf/0304HPage/index.htm)
09:47:54	1280/1280	---M--	200	added ('OK')	text/html	etag:%2210cdad-500-eae00600%22	http://www.cmass.edu.hk/~tf/0304HPage/FCar13_5_04/page/image31.html	d:/My%20Websites/cmass/www.cmass.edu.hk/_tf/0304HPage/FCar13_5_04/page/image31.html	(from http://www.cmass.edu.hk/~tf/0304HPage/index.htm)
09:47:54	1845/1845	---M--	200	added ('OK')	image/jpeg	etag:%2210ce0c-735-eb1d0f00%22	http://www.cmass.edu.hk/~tf/0304HPage/FCar13_5_04/Thumbs/tn_Robot038.jpg	d:/My%20Websites/cmass/www.cmass.edu.hk/_tf/0304HPage/FCar13_5_04/Thumbs/tn_Robot038.jpg	(from http://www.cmass.edu.hk/~tf/0304HPage/index.htm)
09:47:54	1280/1280	---M--	200	added ('OK')	text/html	etag:%2210cdae-500-eae00600%22	http://www.cmass.edu.hk/~tf/0304HPage/FCar13_5_04/page/image32.html	d:/My%20Websites/cmass/www.cmass.edu.hk/_tf/0304HPage/FCar13_5_04/page/image32.html	(from http://www.cmass.edu.hk/~tf/0304HPage/index.htm)
09:47:55	1754/1754	---M--	200	added ('OK')	image/jpeg	etag:%2210ce0d-6da-eb1d0f00%22	http://www.cmass.edu.hk/~tf/0304HPage/FCar13_5_04/Thumbs/tn_Robot039.jpg	d:/My%20Websites/cmass/www.cmass.edu.hk/_tf/0304HPage/FCar13_5_04/Thumbs/tn_Robot039.jpg	(from http://www.cmass.edu.hk/~tf/0304HPage/index.htm)
09:47:56	1280/1280	---M--	200	added ('OK')	text/html	etag:%2210cdaf-500-eae00600%22	http://www.cmass.edu.hk/~tf/0304HPage/FCar13_5_04/page/image33.html	d:/My%20Websites/cmass/www.cmass.edu.hk/_tf/0304HPage/FCar13_5_04/page/image33.html	(from http://www.cmass.edu.hk/~tf/0304HPage/index.htm)
09:47:56	1447/1447	---M--	200	added ('OK')	image/jpeg	etag:%2210ce0e-5a7-eb1d0f00%22	http://www.cmass.edu.hk/~tf/0304HPage/FCar13_5_04/Thumbs/tn_Robot040.jpg	d:/My%20Websites/cmass/www.cmass.edu.hk/_tf/0304HPage/FCar13_5_04/Thumbs/tn_Robot040.jpg	(from http://www.cmass.edu.hk/~tf/0304HPage/index.htm)
09:47:56	1280/1280	---M--	200	added ('OK')	text/html	etag:%2210cdb0-500-eae00600%22	http://www.cmass.edu.hk/~tf/0304HPage/FCar13_5_04/page/image34.html	d:/My%20Websites/cmass/www.cmass.edu.hk/_tf/0304HPage/FCar13_5_04/page/image34.html	(from http://www.cmass.edu.hk/~tf/0304HPage/index.htm)
